Name,Filter,Object,ExposureMode,UT
NCyi270137.fits,H,HAQ1527+0250 A1,frames 25.0 12, TCS UTC at start (19h:51m:14.0s)               
NCyi270138.fits,H,HAQ1527+0250 B1,frames 25.0 12, TCS UTC at start (19h:56m:36.0s)               
NCyi270139.fits,H,HAQ1527+0250 B2,frames 25.0 12, TCS UTC at start ( 20h:1m:58.0s)               
NCyi270140.fits,H,HAQ1527+0250 A2,frames 25.0 12, TCS UTC at start ( 20h:7m:19.0s)               
NCyi270141.fits,H,Argon,expose 2.0, TCS UTC at start (20h:13m:29.0s)               
NCyi270142.fits,H,Xenon,expose 10.0, TCS UTC at start (20h:13m:52.0s)               
NCyi270143.fits,H,Halogen 1,expose 7.0, TCS UTC at start (20h:14m:22.0s)               
NCyi270144.fits,H,Halogen 2,expose 7.0, TCS UTC at start (20h:14m:40.0s)               
NCyi270145.fits,H,Halogen 3,expose 7.0, TCS UTC at start (20h:14m:57.0s)               
NCyi270146.fits,H,slit image,expose 3.0, TCS UTC at start (20h:18m:43.0s)               
NCyi270147.fits,H,acquisition,expose 2.0, TCS UTC at start (20h:19m:48.0s)               
NCyi270148.fits,H,acquisition,expose 2.0, TCS UTC at start (20h:20m:42.0s)               
NCyi270149.fits,H,128slit+target,expose 2.0, TCS UTC at start (20h:21m:33.0s)               
NCyi270150.fits,H,HIP75230 A1,frames 3.6 1, TCS UTC at start ( 20h:23m:5.0s)               
NCyi270151.fits,H,HIP75230 B1,frames 3.6 1, TCS UTC at start (20h:23m:27.0s)               
NCyi270152.fits,H,HIP75230 B2,frames 3.6 1, TCS UTC at start (20h:23m:42.0s)               
NCyi270153.fits,H,HIP75230 A2,frames 3.6 1, TCS UTC at start ( 20h:24m:5.0s)               
NCyi270154.fits,H,HIP75230 A1,frames 3.6 1, TCS UTC at start (20h:24m:28.0s)               
NCyi270155.fits,H,HIP75230 B1,frames 3.6 1, TCS UTC at start (20h:24m:50.0s)               
NCyi270156.fits,H,HIP75230 B2,frames 3.6 1, TCS UTC at start ( 20h:25m:3.0s)               
NCyi270157.fits,H,HIP75230 A2,frames 3.6 1, TCS UTC at start (20h:25m:24.0s)               
NCyi270158.fits,H,Argon,expose 2.0, TCS UTC at start (20h:26m:39.0s)               
NCyi270159.fits,H,Xenon,expose 10.0, TCS UTC at start ( 20h:27m:1.0s)               
NCyi270160.fits,H,Halogen 1,expose 7.0, TCS UTC at start (20h:27m:32.0s)               
NCyi270161.fits,H,Halogen 2,expose 7.0, TCS UTC at start (20h:27m:50.0s)               
NCyi270162.fits,H,Halogen 3,expose 7.0, TCS UTC at start ( 20h:28m:8.0s)               
NCyi270163.fits,Y,slit image,expose 24.0, TCS UTC at start (20h:31m:45.0s)               
NCyi270164.fits,Y,acquisition,expose 24.0, TCS UTC at start ( 20h:33m:0.0s)               
NCyi270165.fits,Y,acquisition,expose 24.0, TCS UTC at start ( 20h:34m:4.0s)               
NCyi270166.fits,Y,acquisition,expose 24.0, TCS UTC at start ( 20h:35m:7.0s)               
NCyi270167.fits,Y,128slit+target,expose 24.0, TCS UTC at start (20h:36m:32.0s)               
NCyi270168.fits,Y,eHAQ2235+0635 A1,frames 50.0 12, TCS UTC at start (20h:38m:38.0s)               
NCyi270169.fits,Y,eHAQ2235+0635 B1,frames 50.0 12, TCS UTC at start (20h:49m:19.0s)               
NCyi270170.fits,Y,eHAQ2235+0635 B2,frames 50.0 12, TCS UTC at start (  21h:0m:6.0s)               
NCyi270171.fits,Y,eHAQ2235+0635 A2,frames 50.0 12, TCS UTC at start (21h:10m:45.0s)               
NCyi270172.fits,Y,Argon,expose 2.0, TCS UTC at start (21h:21m:58.0s)               
NCyi270173.fits,Y,Xenon,expose 0.6, TCS UTC at start (21h:22m:21.0s)               
NCyi270174.fits,Y,Halogen 1,expose 15.0, TCS UTC at start (21h:22m:43.0s)               
NCyi270175.fits,Y,Halogen 2,expose 15.0, TCS UTC at start ( 21h:23m:9.0s)               
NCyi270176.fits,Y,Halogen 3,expose 15.0, TCS UTC at start (21h:23m:35.0s)               
NCyi270177.fits,Y,slit image,expose 3.0, TCS UTC at start (21h:26m:52.0s)               
NCyi270178.fits,Y,acquisition,expose 1.0, TCS UTC at start (21h:28m:13.0s)               
NCyi270179.fits,Y,acquisition,expose 1.0, TCS UTC at start ( 21h:30m:0.0s)               
NCyi270180.fits,Y,128slit+target,expose 1.0, TCS UTC at start (21h:31m:20.0s)               
NCyi270181.fits,Y,HIP116886 A1,frames 5.0 5, TCS UTC at start (21h:32m:24.0s)               
NCyi270182.fits,Y,HIP116886 B1,frames 5.0 5, TCS UTC at start ( 21h:33m:8.0s)               
NCyi270183.fits,Y,HIP116886 B2,frames 5.0 5, TCS UTC at start (21h:33m:45.0s)               
NCyi270184.fits,Y,HIP116886 A2,frames 5.0 5, TCS UTC at start (21h:34m:28.0s)               
NCyi270185.fits,Y,HIP116886 A1,frames 5.0 5, TCS UTC at start (21h:35m:10.0s)               
NCyi270186.fits,Y,HIP116886 B1,frames 5.0 5, TCS UTC at start (21h:35m:55.0s)               
NCyi270187.fits,Y,HIP116886 B2,frames 5.0 5, TCS UTC at start (21h:36m:30.0s)               
NCyi270188.fits,Y,HIP116886 A2,frames 5.0 5, TCS UTC at start (21h:37m:15.0s)               
NCyi270189.fits,Y,slit image,expose 25.0, TCS UTC at start (21h:38m:56.0s)               
NCyi270190.fits,Y,acquisition,expose 25.0, TCS UTC at start (21h:40m:33.0s)               
NCyi270191.fits,Y,acquisition,expose 25.0, TCS UTC at start (21h:41m:26.0s)               
NCyi270192.fits,Y,acquisition,expose 25.0, TCS UTC at start (21h:42m:26.0s)               
NCyi270193.fits,Y,128slit+target,expose 25.0, TCS UTC at start (21h:43m:36.0s)               
NCyi270194.fits,Y,eHAQ2235+0635,frames 50.0 12, TCS UTC at start (21h:44m:46.0s)               
NCyi270195.fits,Y,eHAQ2235+0635 A1,frames 50.0 12, TCS UTC at start (21h:55m:34.0s)               
NCyi270196.fits,Y,eHAQ2235+0635 B1,frames 50.0 12, TCS UTC at start ( 22h:6m:14.0s)               
NCyi270197.fits,Y,eHAQ2235+0635 B2,frames 50.0 12, TCS UTC at start ( 22h:17m:0.0s)               
NCyi270198.fits,Y,eHAQ2235+0635 A2,frames 50.0 12, TCS UTC at start (22h:27m:40.0s)               
NCyi270199.fits,Y,Argon,expose 2.0, TCS UTC at start (22h:38m:50.0s)               
NCyi270200.fits,Y,Xenon,expose 0.6, TCS UTC at start (22h:39m:13.0s)               
NCyi270201.fits,Y,Halogen 1,expose 15.0, TCS UTC at start (22h:39m:33.0s)               
NCyi270202.fits,Y,Halogen 2,expose 15.0, TCS UTC at start (22h:39m:59.0s)               
NCyi270203.fits,Y,Halogen 3,expose 15.0, TCS UTC at start (22h:40m:25.0s)               
NCyi270204.fits,Yn,slit image,expose 3.0, TCS UTC at start (22h:44m:21.0s)               
NCyi270205.fits,Yn,acquisition,expose 1.2, TCS UTC at start (22h:45m:42.0s)               
NCyi270206.fits,Yn,acquisition,expose 1.2, TCS UTC at start (22h:46m:27.0s)               
NCyi270207.fits,Yn,128slit+target,expose 1.2, TCS UTC at start (22h:47m:25.0s)               
NCyi270208.fits,Yn,slit,expose 1.2, TCS UTC at start (22h:48m:13.0s)               
NCyi270209.fits,Y,HIP107575 A1,frames 4.0 1, TCS UTC at start ( 22h:49m:2.0s)               
NCyi270210.fits,Y,HIP107575 B1,frames 4.0 1, TCS UTC at start (22h:49m:25.0s)               
NCyi270211.fits,Y,HIP107575 B2,frames 4.0 1, TCS UTC at start (22h:49m:40.0s)               
NCyi270212.fits,Y,HIP107575 A2,frames 4.0 1, TCS UTC at start ( 22h:50m:3.0s)               
NCyi270213.fits,Y,HIP107575 A1,frames 4.0 1, TCS UTC at start (22h:50m:24.0s)               
NCyi270214.fits,Y,HIP107575 B1,frames 4.0 1, TCS UTC at start (22h:50m:46.0s)               
NCyi270215.fits,Y,HIP107575 B2,frames 4.0 1, TCS UTC at start ( 22h:51m:1.0s)               
NCyi270216.fits,Y,HIP107575 A2,frames 4.0 1, TCS UTC at start (22h:51m:24.0s)               
NCyi270217.fits,Y,Argon,expose 2.0, TCS UTC at start (22h:52m:36.0s)               
NCyi270218.fits,Y,Xenon,expose 0.6, TCS UTC at start (22h:52m:59.0s)               
NCyi270219.fits,Y,Halogen 1,expose 15.0, TCS UTC at start (22h:53m:21.0s)               
NCyi270220.fits,Y,Halogen 2,expose 15.0, TCS UTC at start (22h:53m:46.0s)               
NCyi270221.fits,Y,Halogen 3,expose 15.0, TCS UTC at start (22h:54m:12.0s)               
NCyi270222.fits,Y,slit image,expose 12.0, TCS UTC at start ( 22h:57m:3.0s)               
NCyi270223.fits,Y,acquisition,expose 12.0, TCS UTC at start (22h:58m:15.0s)               
NCyi270224.fits,Y,acquisition,expose 12.0, TCS UTC at start ( 22h:59m:4.0s)               
NCyi270225.fits,Y,acquisition,expose 12.0, TCS UTC at start ( 23h:0m:17.0s)               
NCyi270226.fits,Y,128slit+target,expose 12.0, TCS UTC at start ( 23h:1m:19.0s)               
NCyi270227.fits,Y,HAQ2301+0832,frames 25.0 12, TCS UTC at start ( 23h:2m:34.0s)               
NCyi270228.fits,Y,HAQ2301+0832 A1,frames 25.0 12, TCS UTC at start ( 23h:8m:37.0s)               
NCyi270229.fits,Y,HAQ2301+0832 B1,frames 25.0 12, TCS UTC at start (23h:13m:58.0s)               
NCyi270230.fits,Y,HAQ2301+0832 B2,frames 25.0 12, TCS UTC at start (23h:19m:27.0s)               
