Name,Filter,Object,ExposureMode,UT
NCyi040744.fits,K,HIP27830 A1,frames 4.0 3, TCS UTC at start (  4h:3m:43.0s)               
NCyi040745.fits,K,HIP27830 B1,frames 4.0 3, TCS UTC at start (  4h:4m:16.0s)               
NCyi040746.fits,K,HIP27830 B2,frames 4.0 3, TCS UTC at start (  4h:4m:40.0s)               
NCyi040747.fits,K,HIP27830 A2,frames 4.0 3, TCS UTC at start (  4h:5m:10.0s)               
NCyi040748.fits,H,HIP27830 A1,frames 4.0 3, TCS UTC at start (  4h:6m:17.0s)               
NCyi040749.fits,H,HIP27830 B1,frames 4.0 3, TCS UTC at start (  4h:6m:48.0s)               
NCyi040750.fits,H,HIP27830 B2,frames 4.0 3, TCS UTC at start (  4h:7m:12.0s)               
NCyi040751.fits,H,HIP27830 A2,frames 4.0 3, TCS UTC at start (  4h:7m:43.0s)               
NCyi040752.fits,H,HIP27830 A1,frames 3.6 2, TCS UTC at start (  4h:8m:31.0s)               
NCyi040753.fits,H,HIP27830 B1,frames 3.6 2, TCS UTC at start (  4h:8m:57.0s)               
NCyi040754.fits,H,HIP27830 B2,frames 3.6 2, TCS UTC at start (  4h:9m:17.0s)               
NCyi040755.fits,H,HIP27830 A2,frames 3.6 2, TCS UTC at start (  4h:9m:42.0s)               
NCyi040756.fits,J,HIP27830 A1,frames 3.6 2, TCS UTC at start ( 4h:11m:10.0s)               
NCyi040757.fits,J,HIP27830 B1,frames 3.6 2, TCS UTC at start ( 4h:11m:37.0s)               
NCyi040758.fits,J,HIP27830 B2,frames 3.6 2, TCS UTC at start ( 4h:11m:58.0s)               
NCyi040759.fits,J,HIP27830 A2,frames 3.6 2, TCS UTC at start ( 4h:12m:24.0s)               
NCyi040760.fits,K,Argon,expose 10.0, TCS UTC at start ( 4h:15m:13.0s)               
NCyi040761.fits,H,Argon,expose 2.0, TCS UTC at start ( 4h:15m:49.0s)               
NCyi040762.fits,J,Argon,expose 1.5, TCS UTC at start ( 4h:16m:38.0s)               
NCyi040763.fits,K,Xenon,expose 20.0, TCS UTC at start ( 4h:17m:25.0s)               
NCyi040764.fits,K,Halogen 1,expose 7.0, TCS UTC at start (  4h:18m:6.0s)               
NCyi040765.fits,K,Halogen 2,expose 7.0, TCS UTC at start ( 4h:18m:24.0s)               
