Name,Filter,Object,ExposureMode,UT,Grism
NCrd170315.fits,Ks,zp_std p45 2,frames 4.0 4, TCS UTC at start ( 1h:51m:39.0s)               ,OPEN
NCrd170316.fits,Ks,zp_std p0 2,frames 4.0 4, TCS UTC at start ( 1h:52m:19.0s)               ,OPEN
NCrd170317.fits,Ks,zp_std p135 3,frames 4.0 4, TCS UTC at start ( 1h:53m:32.0s)               ,OPEN
NCrd170318.fits,Ks,zp_std p90 3,frames 4.0 4, TCS UTC at start ( 1h:54m:11.0s)               ,OPEN
NCrd170319.fits,Ks,zp_std p45 3,frames 4.0 4, TCS UTC at start ( 1h:54m:49.0s)               ,OPEN
NCrd170320.fits,Ks,zp_std p0 3,frames 4.0 4, TCS UTC at start ( 1h:55m:35.0s)               ,OPEN
NCrd170321.fits,Ks,zp_std p135 4,frames 4.0 4, TCS UTC at start ( 1h:56m:43.0s)               ,OPEN
NCrd170322.fits,Ks,zp_std p90 4,frames 4.0 4, TCS UTC at start ( 1h:57m:25.0s)               ,OPEN
NCrd170323.fits,Ks,zp_std p45 4,frames 4.0 4, TCS UTC at start (  1h:58m:5.0s)               ,OPEN
NCrd170324.fits,Ks,zp_std p0 4,frames 4.0 4, TCS UTC at start ( 1h:58m:45.0s)               ,OPEN
NCrd170325.fits,Ks,zp_std p135 5,frames 4.0 4, TCS UTC at start (   2h:0m:4.0s)               ,OPEN
NCrd170326.fits,Ks,zp_std p90 5,frames 4.0 4, TCS UTC at start (  2h:0m:43.0s)               ,OPEN
NCrd170327.fits,Ks,zp_std p45 5,frames 4.0 4, TCS UTC at start (  2h:1m:24.0s)               ,OPEN
NCrd170328.fits,Ks,zp_std p0 5,frames 4.0 4, TCS UTC at start (   2h:2m:4.0s)               ,OPEN
NCrd170329.fits,H,zp_std p0 5,frames 10.0 6, TCS UTC at start ( 2h:12m:47.0s)               ,OPEN
NCrd170330.fits,H,QSO 1,frames 10.0 6, TCS UTC at start ( 2h:20m:42.0s)               ,OPEN
NCrd170331.fits,H,QSO 2,frames 10.0 6, TCS UTC at start (  2h:22m:7.0s)               ,OPEN
NCrd170332.fits,H,QSO 3,frames 10.0 6, TCS UTC at start ( 2h:23m:33.0s)               ,OPEN
NCrd170333.fits,H,QSO 4,frames 10.0 6, TCS UTC at start ( 2h:25m:22.0s)               ,OPEN
NCrd170334.fits,H,QSO 5,frames 10.0 6, TCS UTC at start (  2h:27m:6.0s)               ,OPEN
NCrd170335.fits,H,QSO 6,frames 10.0 6, TCS UTC at start ( 2h:28m:35.0s)               ,OPEN
NCrd170336.fits,H,QSO 7,frames 10.0 6, TCS UTC at start ( 2h:30m:22.0s)               ,OPEN
NCrd170337.fits,H,QSO 8,frames 10.0 6, TCS UTC at start (  2h:32m:8.0s)               ,OPEN
NCrd170338.fits,H,QSO 9,frames 10.0 6, TCS UTC at start ( 2h:33m:41.0s)               ,OPEN
NCrd170339.fits,H,QSO 10,frames 10.0 6, TCS UTC at start ( 2h:35m:37.0s)               ,OPEN
NCrd170340.fits,H,QSO 11,frames 10.0 6, TCS UTC at start ( 2h:37m:21.0s)               ,OPEN
NCrd170341.fits,H,QSO 12,frames 10.0 6, TCS UTC at start ( 2h:38m:49.0s)               ,OPEN
NCrd170342.fits,H,QSO 13,frames 10.0 6, TCS UTC at start ( 2h:40m:20.0s)               ,OPEN
NCrd170343.fits,H,QSO 14,frames 10.0 6, TCS UTC at start ( 2h:41m:59.0s)               ,OPEN
NCrd170344.fits,H,QSO 15,frames 10.0 6, TCS UTC at start (  2h:44m:0.0s)               ,OPEN
NCrd170345.fits,H,QSO 16,frames 10.0 6, TCS UTC at start ( 2h:45m:24.0s)               ,OPEN
NCrd170346.fits,H,M57,frames 5.0 5, TCS UTC at start ( 2h:51m:43.0s)               ,OPEN
NCrd170347.fits,H,M57,frames 5.0 5, TCS UTC at start ( 2h:52m:56.0s)               ,OPEN
NCrd170348.fits,H,M57 1,frames 10.0 10, TCS UTC at start ( 2h:55m:49.0s)               ,OPEN
NCrd170349.fits,H,sky 1,frames 10.0 10, TCS UTC at start ( 2h:58m:55.0s)               ,OPEN
NCrd170350.fits,H,M57 2,frames 10.0 10, TCS UTC at start (  3h:1m:12.0s)               ,OPEN
NCrd170351.fits,H,sky 2,frames 10.0 10, TCS UTC at start (  3h:3m:54.0s)               ,OPEN
NCrd170352.fits,H,M57 3,frames 10.0 10, TCS UTC at start (  3h:6m:58.0s)               ,OPEN
NCrd170353.fits,H,sky 3,frames 10.0 10, TCS UTC at start (  3h:10m:5.0s)               ,OPEN
NCrd170354.fits,H,M57 4,frames 10.0 10, TCS UTC at start ( 3h:12m:43.0s)               ,OPEN
NCrd170355.fits,H,sky 4,frames 10.0 10, TCS UTC at start ( 3h:15m:45.0s)               ,OPEN
