Name,Filter,Object,ExposureMode,UT,Grism
NCrd170206.fits,Ks,AS26 Ks 1,frames 3.6 3, TCS UTC at start (22h:45m:12.0s)               ,OPEN
NCrd170207.fits,Ks,AS26 Ks 2,frames 3.6 3, TCS UTC at start (22h:45m:48.0s)               ,OPEN
NCrd170208.fits,Ks,AS26 Ks 3,frames 3.6 3, TCS UTC at start (22h:46m:31.0s)               ,OPEN
NCrd170209.fits,Ks,AS26 Ks 4,frames 3.6 3, TCS UTC at start ( 22h:47m:6.0s)               ,OPEN
NCrd170210.fits,Ks,AS26 Ks 5,frames 3.6 3, TCS UTC at start (22h:47m:48.0s)               ,OPEN
NCrd170211.fits,J,AS26 J 1,frames 3.6 3, TCS UTC at start ( 22h:49m:3.0s)               ,OPEN
NCrd170212.fits,J,AS26 J 2,frames 3.6 3, TCS UTC at start (22h:49m:42.0s)               ,OPEN
NCrd170213.fits,J,AS26 J 3,frames 3.6 3, TCS UTC at start (22h:50m:26.0s)               ,OPEN
NCrd170214.fits,J,AS26 J 4,frames 3.6 3, TCS UTC at start ( 22h:51m:3.0s)               ,OPEN
NCrd170215.fits,J,AS26 J 5,frames 3.6 3, TCS UTC at start (22h:51m:47.0s)               ,OPEN
NCrd170216.fits,H,AS26 H 1,frames 3.6 3, TCS UTC at start (22h:52m:55.0s)               ,OPEN
NCrd170217.fits,H,AS26 H 2,frames 3.6 3, TCS UTC at start (22h:53m:38.0s)               ,OPEN
NCrd170218.fits,H,AS26 H 3,frames 3.6 3, TCS UTC at start (22h:54m:19.0s)               ,OPEN
NCrd170219.fits,H,AS26 H 4,frames 3.6 3, TCS UTC at start (22h:54m:56.0s)               ,OPEN
NCrd170220.fits,H,AS26 H 5,frames 3.6 3, TCS UTC at start (22h:55m:35.0s)               ,OPEN
NCrd170221.fits,H,AS26 H 5,frames 6.0 10, TCS UTC at start ( 23h:0m:45.0s)               ,OPEN
NCrd170222.fits,H,AS26 H 5,frames 6.0 10, TCS UTC at start ( 23h:2m:38.0s)               ,OPEN
NCrd170223.fits,H,0407H 1,frames 6.0 10, TCS UTC at start ( 23h:4m:55.0s)               ,OPEN
NCrd170224.fits,H,0407H 2,frames 6.0 10, TCS UTC at start ( 23h:7m:18.0s)               ,OPEN
NCrd170225.fits,H,0407H 3,frames 6.0 10, TCS UTC at start (  23h:9m:7.0s)               ,OPEN
NCrd170226.fits,H,0407H 4,frames 6.0 10, TCS UTC at start (23h:10m:45.0s)               ,OPEN
NCrd170227.fits,H,0407H 1,frames 6.0 10, TCS UTC at start (23h:12m:38.0s)               ,OPEN
NCrd170228.fits,H,0407H 2,frames 6.0 10, TCS UTC at start (23h:14m:44.0s)               ,OPEN
NCrd170229.fits,H,0407H 3,frames 6.0 10, TCS UTC at start ( 23h:17m:4.0s)               ,OPEN
NCrd170230.fits,H,0407H 4,frames 6.0 10, TCS UTC at start (23h:18m:40.0s)               ,OPEN
NCrd170231.fits,H,0407H 1,frames 6.0 10, TCS UTC at start (23h:20m:40.0s)               ,OPEN
NCrd170232.fits,H,0407H 2,frames 6.0 10, TCS UTC at start (23h:22m:13.0s)               ,OPEN
NCrd170233.fits,H,0407H 3,frames 6.0 10, TCS UTC at start ( 23h:24m:1.0s)               ,OPEN
NCrd170234.fits,H,0407H 4,frames 6.0 10, TCS UTC at start (23h:25m:36.0s)               ,OPEN
NCrd170235.fits,H,0407H 4,frames 9.0 10, TCS UTC at start (23h:30m:23.0s)               ,OPEN
NCrd170236.fits,H,2019H 1,frames 9.0 10, TCS UTC at start (23h:32m:38.0s)               ,OPEN
NCrd170237.fits,H,2019H 1,frames 9.0 10, TCS UTC at start (23h:34m:53.0s)               ,OPEN
NCrd170238.fits,H,2019H 1,frames 9.0 10, TCS UTC at start (23h:41m:56.0s)               ,OPEN
NCrd170239.fits,H,2019H 2,frames 9.0 10, TCS UTC at start ( 23h:44m:0.0s)               ,OPEN
NCrd170240.fits,H,2019H 3,frames 9.0 10, TCS UTC at start (23h:46m:57.0s)               ,OPEN
NCrd170241.fits,H,2019H 4,frames 9.0 10, TCS UTC at start (23h:49m:19.0s)               ,OPEN
NCrd170242.fits,H,2019H 1,frames 9.0 10, TCS UTC at start (23h:52m:12.0s)               ,OPEN
