Name,Filter,Object,ExposureMode,UT
NCxj310059.fits,Ks,HIP21602 A1,frames 4.0 5, TCS UTC at start ( 0h:40m:24.0s)               
NCxj310060.fits,Ks,HIP21602 B1,frames 4.0 5, TCS UTC at start ( 0h:41m:23.0s)               
NCxj310061.fits,Ks,HIP21602 B2,frames 4.0 5, TCS UTC at start ( 0h:42m:15.0s)               
NCxj310062.fits,Ks,HIP21602 A2,frames 4.0 5, TCS UTC at start ( 0h:43m:15.0s)               
NCxj310063.fits,H,HIP21602_H A1,frames 4.0 5, TCS UTC at start ( 0h:45m:27.0s)               
NCxj310064.fits,H,HIP21602_H B1,frames 4.0 5, TCS UTC at start ( 0h:46m:26.0s)               
NCxj310065.fits,H,HIP21602_H B2,frames 4.0 5, TCS UTC at start ( 0h:47m:19.0s)               
NCxj310066.fits,H,HIP21602_H A2,frames 4.0 5, TCS UTC at start ( 0h:48m:18.0s)               
NCxj310067.fits,J,HIP21602_J A1,frames 4.0 5, TCS UTC at start (  0h:50m:6.0s)               
NCxj310068.fits,J,HIP21602_J B1,frames 4.0 5, TCS UTC at start (  0h:51m:4.0s)               
NCxj310069.fits,J,HIP21602_J B2,frames 4.0 5, TCS UTC at start ( 0h:51m:56.0s)               
NCxj310070.fits,J,HIP21602_J A2,frames 4.0 5, TCS UTC at start ( 0h:52m:54.0s)               
NCxj310071.fits,Y,HIP21602_Y A1,frames 4.0 5, TCS UTC at start ( 0h:54m:15.0s)               
NCxj310072.fits,Y,HIP21602_Y B1,frames 4.0 5, TCS UTC at start ( 0h:55m:14.0s)               
NCxj310073.fits,Y,HIP21602_Y B2,frames 4.0 5, TCS UTC at start (  0h:56m:5.0s)               
NCxj310074.fits,Y,HIP21602_Y A2,frames 4.0 5, TCS UTC at start (  0h:57m:3.0s)               
NCxj310075.fits,Ks,,expose 3.0, TCS UTC at start (  1h:0m:43.0s)               
NCxj310076.fits,Ks,,expose 3.0, TCS UTC at start (   1h:2m:1.0s)               
NCxj310077.fits,Ks,,expose 20.0, TCS UTC at start (  1h:2m:56.0s)               
NCxj310078.fits,Ks,AGLL_354 1,expose 20.0, TCS UTC at start (  1h:4m:29.0s)               
NCxj310079.fits,Ks,AGLL_354 2,expose 20.0, TCS UTC at start (   1h:5m:5.0s)               
NCxj310080.fits,Ks,AGLL_354 3,expose 20.0, TCS UTC at start (  1h:5m:40.0s)               
NCxj310081.fits,Ks,AGLL_354 4,expose 20.0, TCS UTC at start (  1h:6m:16.0s)               
NCxj310082.fits,Ks,AGLL_354 5,expose 20.0, TCS UTC at start (  1h:6m:51.0s)               
NCxj310083.fits,H,AGLL_354_H 1,expose 20.0, TCS UTC at start (   1h:8m:1.0s)               
NCxj310084.fits,H,AGLL_354_H 2,expose 20.0, TCS UTC at start (  1h:8m:36.0s)               
NCxj310085.fits,H,AGLL_354_H 3,expose 20.0, TCS UTC at start (  1h:9m:12.0s)               
NCxj310086.fits,H,AGLL_354_H 4,expose 20.0, TCS UTC at start (  1h:9m:49.0s)               
NCxj310087.fits,H,AGLL_354_H 5,expose 20.0, TCS UTC at start ( 1h:10m:24.0s)               
