Name,Filter,Object,ExposureMode,UT
NCyd041162.fits,J,mdar-3.0-20 3,mdark 3.0 20  20/20, TCS UTC at start ( 9h:41m:38.0s)               
NCyd041163.fits,J,mdar-3.0-20 3,mdark 3.0 20, TCS UTC at start ( 9h:41m:51.0s)               
NCyd041164.fits,J,mdar-3.0-20 4,mdark 3.0 20   1/20, TCS UTC at start ( 9h:41m:55.0s)               
NCyd041165.fits,J,mdar-3.0-20 4,mdark 3.0 20   2/20, TCS UTC at start (  9h:42m:8.0s)               
NCyd041166.fits,J,mdar-3.0-20 4,mdark 3.0 20   3/20, TCS UTC at start ( 9h:42m:22.0s)               
NCyd041167.fits,J,mdar-3.0-20 4,mdark 3.0 20   4/20, TCS UTC at start ( 9h:42m:37.0s)               
NCyd041168.fits,J,mdar-3.0-20 4,mdark 3.0 20   5/20, TCS UTC at start ( 9h:42m:50.0s)               
NCyd041169.fits,J,mdar-3.0-20 4,mdark 3.0 20   6/20, TCS UTC at start (  9h:43m:4.0s)               
NCyd041170.fits,J,mdar-3.0-20 4,mdark 3.0 20   7/20, TCS UTC at start ( 9h:43m:17.0s)               
NCyd041171.fits,J,mdar-3.0-20 4,mdark 3.0 20   8/20, TCS UTC at start ( 9h:43m:31.0s)               
NCyd041172.fits,J,mdar-3.0-20 4,mdark 3.0 20   9/20, TCS UTC at start ( 9h:43m:45.0s)               
NCyd041173.fits,J,mdar-3.0-20 4,mdark 3.0 20  10/20, TCS UTC at start ( 9h:43m:59.0s)               
NCyd041174.fits,J,mdar-3.0-20 4,mdark 3.0 20  11/20, TCS UTC at start ( 9h:44m:12.0s)               
NCyd041175.fits,J,mdar-3.0-20 4,mdark 3.0 20  12/20, TCS UTC at start ( 9h:44m:26.0s)               
