Name,Filter,Object,ExposureMode,UT
NCzc260001.fits,K,bias,mdark 0.0 11   1/11, TCS UTC at start ( 19h:14m:8.0s)               
NCzc260002.fits,K,bias,mdark 0.0 11   2/11, TCS UTC at start (19h:14m:19.0s)               
NCzc260003.fits,K,bias,mdark 0.0 11   3/11, TCS UTC at start (19h:14m:30.0s)               
NCzc260004.fits,K,bias,mdark 0.0 11   4/11, TCS UTC at start (19h:14m:40.0s)               
NCzc260005.fits,K,bias,mdark 0.0 11   5/11, TCS UTC at start (19h:14m:51.0s)               
NCzc260006.fits,K,bias,mdark 0.0 11   6/11, TCS UTC at start ( 19h:15m:3.0s)               
NCzc260007.fits,K,bias,mdark 0.0 11   7/11, TCS UTC at start (19h:15m:13.0s)               
NCzc260008.fits,K,bias,mdark 0.0 11   8/11, TCS UTC at start (19h:15m:24.0s)               
NCzc260009.fits,K,bias,mdark 0.0 11   9/11, TCS UTC at start (19h:15m:35.0s)               
NCzc260010.fits,K,bias,mdark 0.0 11  10/11, TCS UTC at start (19h:15m:46.0s)               
NCzc260011.fits,K,bias,mdark 0.0 11  11/11, TCS UTC at start (19h:15m:57.0s)               
NCzc260012.fits,K,bias,mdark 0.0 11, TCS UTC at start ( 19h:16m:8.0s)               
NCzc260013.fits,Ks,focus,expose 15.0, TCS UTC at start ( 20h:7m:49.0s)               
NCzc260014.fits,Ks,focus,expose 15.0, TCS UTC at start ( 20h:8m:37.0s)               
NCzc260015.fits,Ks,focus,expose 15.0, TCS UTC at start (20h:10m:17.0s)               
NCzc260016.fits,Ks,focus,expose 15.0, TCS UTC at start (20h:11m:25.0s)               
NCzc260017.fits,Ks,focus,expose 15.0, TCS UTC at start (20h:12m:10.0s)               
NCzc260018.fits,Ks,focus,expose 15.0, TCS UTC at start (20h:12m:42.0s)               
NCzc260019.fits,Ks,focus,expose 15.0, TCS UTC at start (20h:13m:15.0s)               
NCzc260020.fits,Ks,focus,expose 15.0, TCS UTC at start (20h:14m:10.0s)               
NCzc260021.fits,Ks,focus,expose 15.0, TCS UTC at start (20h:14m:45.0s)               
NCzc260022.fits,Ks,focus,expose 15.0, TCS UTC at start (20h:15m:32.0s)               
NCzc260023.fits,Ks,focus,expose 15.0, TCS UTC at start (20h:16m:12.0s)               
NCzc260024.fits,Ks,focus,expose 15.0, TCS UTC at start (20h:16m:59.0s)               
NCzc260025.fits,K,slit image,expose 15.0, TCS UTC at start (20h:19m:48.0s)               
NCzc260026.fits,K,acquisition,expose 15.0, TCS UTC at start (20h:20m:58.0s)               
NCzc260027.fits,K,acquisition,expose 15.0, TCS UTC at start (20h:21m:51.0s)               
NCzc260028.fits,K,slit image,expose 15.0, TCS UTC at start (20h:27m:17.0s)               
NCzc260029.fits,K,acquisition,expose 15.0, TCS UTC at start (20h:28m:10.0s)               
NCzc260030.fits,K,acquisition,expose 15.0, TCS UTC at start (20h:28m:55.0s)               
NCzc260031.fits,K,acquisition,expose 15.0, TCS UTC at start (20h:29m:49.0s)               
NCzc260032.fits,K,128slit+target,expose 15.0, TCS UTC at start (20h:30m:46.0s)               
NCzc260033.fits,K,J09433 A1,frames 60.0 10, TCS UTC at start ( 20h:32m:7.0s)               
NCzc260034.fits,K,J09433 B1,frames 60.0 10, TCS UTC at start (20h:42m:48.0s)               
NCzc260035.fits,K,J09433 B2,frames 60.0 10, TCS UTC at start (20h:53m:33.0s)               
NCzc260036.fits,K,J09433 A2,frames 60.0 10, TCS UTC at start ( 21h:4m:12.0s)               
NCzc260037.fits,K,Argon,expose 10.0, TCS UTC at start (21h:15m:39.0s)               
NCzc260038.fits,K,Xenon,expose 20.0, TCS UTC at start (21h:16m:10.0s)               
NCzc260039.fits,K,Halogen 1,expose 7.0, TCS UTC at start (21h:16m:50.0s)               
NCzc260040.fits,K,Halogen 2,expose 7.0, TCS UTC at start ( 21h:17m:8.0s)               
NCzc260041.fits,K,Halogen 3,expose 7.0, TCS UTC at start (21h:17m:26.0s)               
NCzc260042.fits,K,slit image,expose 3.0, TCS UTC at start (21h:21m:17.0s)               
NCzc260043.fits,K,acquisition,expose 0.5, TCS UTC at start ( 21h:22m:7.0s)               
NCzc260044.fits,K,acquisition,expose 0.5, TCS UTC at start (21h:22m:43.0s)               
