Name,Filter,Object,ExposureMode,UT
NCzd190105.fits,Ks,AS33 7,frames 4.0 2, TCS UTC at start (  5h:34m:0.0s)               
NCzd190106.fits,Ks,AS33 8,frames 4.0 2, TCS UTC at start ( 5h:34m:26.0s)               
NCzd190107.fits,Ks,AS33 9,frames 4.0 2, TCS UTC at start ( 5h:34m:50.0s)               
NCzd190108.fits,Ks,SPIRITS15afp,frames 5.0 9, TCS UTC at start ( 5h:51m:29.0s)               
NCzd190109.fits,Ks,SPIRITS15afp 1,frames 5.0 9, TCS UTC at start ( 5h:52m:42.0s)               
NCzd190110.fits,Ks,SPIRITS15afp 2,frames 5.0 9, TCS UTC at start ( 5h:53m:47.0s)               
NCzd190111.fits,Ks,SPIRITS15afp 3,frames 5.0 9, TCS UTC at start ( 5h:54m:51.0s)               
NCzd190112.fits,Ks,SPIRITS15afp 4,frames 5.0 9, TCS UTC at start ( 5h:55m:55.0s)               
NCzd190113.fits,Ks,SPIRITS15afp 5,frames 5.0 9, TCS UTC at start ( 5h:56m:59.0s)               
NCzd190114.fits,Ks,SPIRITS15afp 6,frames 5.0 9, TCS UTC at start (  5h:58m:2.0s)               
NCzd190115.fits,Ks,SPIRITS15afp 7,frames 5.0 9, TCS UTC at start (  5h:59m:5.0s)               
NCzd190116.fits,Ks,SPIRITS15afp 8,frames 5.0 9, TCS UTC at start (   6h:0m:9.0s)               
NCzd190117.fits,Ks,SPIRITS15afp 9,frames 5.0 9, TCS UTC at start (  6h:1m:13.0s)               
NCzd190118.fits,Ks,SPIRITS15afp 1,frames 5.0 9, TCS UTC at start (  6h:2m:36.0s)               
NCzd190119.fits,Ks,SPIRITS15afp 2,frames 5.0 9, TCS UTC at start (  6h:3m:39.0s)               
NCzd190120.fits,Ks,SPIRITS15afp 3,frames 5.0 9, TCS UTC at start (  6h:4m:45.0s)               
NCzd190121.fits,Ks,SPIRITS15afp 4,frames 5.0 9, TCS UTC at start (  6h:5m:48.0s)               
NCzd190122.fits,Ks,SPIRITS15afp 5,frames 5.0 9, TCS UTC at start (  6h:6m:52.0s)               
NCzd190123.fits,Ks,SPIRITS15afp 6,frames 5.0 9, TCS UTC at start (  6h:7m:55.0s)               
NCzd190124.fits,Ks,SPIRITS15afp 7,frames 5.0 9, TCS UTC at start (   6h:9m:0.0s)               
NCzd190125.fits,Ks,SPIRITS15afp 8,frames 5.0 9, TCS UTC at start (  6h:10m:3.0s)               
NCzd190126.fits,Ks,SPIRITS15afp 9,frames 5.0 9, TCS UTC at start (  6h:11m:6.0s)               
