Name,Filter,Object,ExposureMode,UT
NCza230780.fits,J,dark-20.0-1 1,dark 20.0, TCS UTC at start (  7h:0m:59.0s)               
NCza230781.fits,J,dark-20.0-1 2,dark 20.0, TCS UTC at start (  7h:1m:30.0s)               
NCza230782.fits,J,dark-20.0-1 3,dark 20.0, TCS UTC at start (   7h:2m:0.0s)               
NCza230783.fits,J,dark-20.0-1 4,dark 20.0, TCS UTC at start (  7h:2m:32.0s)               
NCza230784.fits,J,dark-20.0-1 5,dark 20.0, TCS UTC at start (   7h:3m:1.0s)               
NCza230785.fits,J,dark-20.0-1 6,dark 20.0, TCS UTC at start (  7h:3m:33.0s)               
NCza230786.fits,J,dark-25.0-1 1,dark 25.0, TCS UTC at start (   7h:4m:3.0s)               
NCza230787.fits,J,dark-25.0-1 2,dark 25.0, TCS UTC at start (  7h:4m:39.0s)               
NCza230788.fits,J,dark-25.0-1 3,dark 25.0, TCS UTC at start (  7h:5m:14.0s)               
NCza230789.fits,J,dark-25.0-1 4,dark 25.0, TCS UTC at start (  7h:5m:50.0s)               
NCza230790.fits,J,dark-25.0-1 5,dark 25.0, TCS UTC at start (  7h:6m:26.0s)               
NCza230791.fits,J,dark-25.0-1 6,dark 25.0, TCS UTC at start (   7h:7m:1.0s)               
NCza230792.fits,J,dark-3.0-1 1,dark 3.0, TCS UTC at start (  7h:7m:36.0s)               
NCza230793.fits,J,dark-3.0-1 2,dark 3.0, TCS UTC at start (  7h:7m:50.0s)               
NCza230794.fits,J,dark-3.0-1 3,dark 3.0, TCS UTC at start (   7h:8m:4.0s)               
NCza230795.fits,J,dark-3.0-1 4,dark 3.0, TCS UTC at start (  7h:8m:17.0s)               
NCza230796.fits,J,dark-3.0-1 5,dark 3.0, TCS UTC at start (  7h:8m:30.0s)               
NCza230797.fits,J,dark-3.0-1 6,dark 3.0, TCS UTC at start (  7h:8m:43.0s)               
NCza230798.fits,J,dark-7.0-1 1,dark 7.0, TCS UTC at start (  7h:8m:58.0s)               
NCza230799.fits,J,dark-7.0-1 2,dark 7.0, TCS UTC at start (  7h:9m:16.0s)               
NCza230800.fits,J,dark-7.0-1 3,dark 7.0, TCS UTC at start (  7h:9m:33.0s)               
NCza230801.fits,J,dark-7.0-1 4,dark 7.0, TCS UTC at start (  7h:9m:50.0s)               
NCza230802.fits,J,dark-7.0-1 5,dark 7.0, TCS UTC at start (  7h:10m:8.0s)               
NCza230803.fits,J,dark-7.0-1 6,dark 7.0, TCS UTC at start ( 7h:10m:26.0s)               
NCza230804.fits,J,dfra-10.0-6 1,dframes 10.0 6, TCS UTC at start ( 7h:10m:44.0s)               
NCza230805.fits,J,dfra-10.0-6 2,dframes 10.0 6, TCS UTC at start ( 7h:11m:54.0s)               
NCza230806.fits,J,dfra-10.0-6 3,dframes 10.0 6, TCS UTC at start (  7h:13m:3.0s)               
NCza230807.fits,J,dfra-10.0-6 4,dframes 10.0 6, TCS UTC at start ( 7h:14m:12.0s)               
NCza230808.fits,J,dfra-10.0-6 5,dframes 10.0 6, TCS UTC at start ( 7h:15m:22.0s)               
NCza230809.fits,J,dfra-10.0-6 6,dframes 10.0 6, TCS UTC at start ( 7h:16m:31.0s)               
NCza230810.fits,J,dfra-3.6-2 1,dframes 3.6 2, TCS UTC at start ( 7h:17m:42.0s)               
NCza230811.fits,J,dfra-3.6-2 2,dframes 3.6 2, TCS UTC at start ( 7h:17m:59.0s)               
NCza230812.fits,J,dfra-3.6-2 3,dframes 3.6 2, TCS UTC at start ( 7h:18m:16.0s)               
NCza230813.fits,J,dfra-3.6-2 4,dframes 3.6 2, TCS UTC at start ( 7h:18m:33.0s)               
