Name,Filter,Object,ExposureMode,UT
NCze210007.fits,Kprime,Halogen 1,expose 7.0, TCS UTC at start (15h:11m:31.0s)               
NCze210008.fits,Kprime,Halogen 2,expose 7.0, TCS UTC at start (15h:11m:49.0s)               
NCze210009.fits,Kprime,Halogen 3,expose 7.0, TCS UTC at start ( 15h:12m:7.0s)               
NCze210010.fits,Kprime,Halogen 4,expose 7.0, TCS UTC at start (15h:12m:25.0s)               
NCze210011.fits,Kprime,Halogen 5,expose 7.0, TCS UTC at start (15h:12m:42.0s)               
NCze210012.fits,Kprime,Halogen 6,expose 7.0, TCS UTC at start (15h:12m:59.0s)               
NCze210013.fits,Kprime,Halogen 7,expose 7.0, TCS UTC at start (15h:13m:17.0s)               
NCze210014.fits,Kprime,Halogen 8,expose 7.0, TCS UTC at start (15h:13m:33.0s)               
NCze210015.fits,Kprime,Halogen 9,expose 7.0, TCS UTC at start (15h:13m:52.0s)               
NCze210016.fits,Kprime,Halogen 10,expose 7.0, TCS UTC at start ( 15h:14m:9.0s)               
NCze210017.fits,Kprime,dfra0405 1,dframes 4.0 5, TCS UTC at start (15h:17m:11.0s)               
NCze210018.fits,Kprime,dfra0405 2,dframes 4.0 5, TCS UTC at start (15h:17m:43.0s)               
NCze210019.fits,Kprime,dfra0405 3,dframes 4.0 5, TCS UTC at start (15h:18m:16.0s)               
NCze210020.fits,Kprime,dfra0405 4,dframes 4.0 5, TCS UTC at start (15h:18m:48.0s)               
NCze210021.fits,Kprime,dfra0405 5,dframes 4.0 5, TCS UTC at start (15h:19m:20.0s)               
NCze210022.fits,Kprime,dfra0405 6,dframes 4.0 5, TCS UTC at start (15h:19m:52.0s)               
NCze210023.fits,Kprime,dfra0405 7,dframes 4.0 5, TCS UTC at start (15h:20m:25.0s)               
NCze210024.fits,Kprime,dfra0405 8,dframes 4.0 5, TCS UTC at start (15h:20m:56.0s)               
NCze210025.fits,Kprime,dfra0405 9,dframes 4.0 5, TCS UTC at start (15h:21m:29.0s)               
NCze210026.fits,Kprime,dfra0405 10,dframes 4.0 5, TCS UTC at start ( 15h:22m:0.0s)               
NCze210372.fits,Kprime,test,frames 4.0 5, TCS UTC at start (  22h:1m:1.0s)               
NCze210373.fits,Kprime,test,frames 4.0 5, TCS UTC at start ( 22h:1m:47.0s)               
NCze210374.fits,Kprime,test,frames 4.0 5, TCS UTC at start ( 22h:3m:31.0s)               
NCze210375.fits,Kprime,test,frames 4.0 5, TCS UTC at start ( 22h:5m:55.0s)               
NCze210376.fits,Kprime,test,frames 4.0 5, TCS UTC at start ( 22h:6m:30.0s)               
NCze210377.fits,Kprime,test,frames 4.0 5, TCS UTC at start ( 22h:7m:54.0s)               
NCze210378.fits,Kprime,test,frames 4.0 5, TCS UTC at start ( 22h:8m:26.0s)               
NCze210379.fits,Kprime,test,frames 4.0 5, TCS UTC at start ( 22h:8m:58.0s)               
NCze210380.fits,Kprime,test,frames 4.0 5, TCS UTC at start ( 22h:9m:29.0s)               
NCze210381.fits,Kprime,test,frames 4.0 5, TCS UTC at start ( 22h:10m:2.0s)               
NCze210382.fits,Kprime,test,frames 4.0 5, TCS UTC at start (22h:10m:34.0s)               
NCze210383.fits,Kprime,test,frames 4.0 5, TCS UTC at start ( 22h:11m:6.0s)               
NCze210384.fits,Kprime,test,frames 4.0 5, TCS UTC at start (22h:11m:39.0s)               
NCze210385.fits,Kprime,test,frames 4.0 5, TCS UTC at start (22h:12m:11.0s)               
NCze210386.fits,Kprime,test,frames 4.0 5, TCS UTC at start (22h:12m:44.0s)               
NCze210387.fits,Kprime,test,frames 4.0 5, TCS UTC at start (22h:13m:15.0s)               
NCze210388.fits,Kprime,test,frames 4.0 5, TCS UTC at start (22h:13m:47.0s)               
NCze210389.fits,Kprime,test,frames 4.0 5, TCS UTC at start (22h:14m:19.0s)               
NCze210390.fits,Kprime,test,frames 4.0 5, TCS UTC at start (22h:14m:51.0s)               
NCze210391.fits,Kprime,test,frames 4.0 5, TCS UTC at start (22h:15m:23.0s)               
NCze210392.fits,Kprime,test,frames 4.0 5, TCS UTC at start (22h:15m:55.0s)               
NCze210393.fits,Kprime,test,frames 4.0 5, TCS UTC at start (22h:16m:27.0s)               
NCze210394.fits,Kprime,test,frames 4.0 5, TCS UTC at start (22h:16m:59.0s)               
NCze210395.fits,Kprime,test,frames 4.0 5, TCS UTC at start (22h:17m:31.0s)               
NCze210396.fits,Kprime,test,frames 4.0 5, TCS UTC at start ( 22h:18m:3.0s)               
