Name,Filter,Object,ExposureMode,UT
NCyi280001.fits,Y,dark after clean3,dark 0.0, TCS UTC at start (17h:18m:17.0s)               
NCyi280002.fits,Y,,dframes 25.0 12, TCS UTC at start ( 17h:21m:3.0s)               
NCyi280003.fits,Y,,dframes 25.0 12, TCS UTC at start (17h:26m:31.0s)               
NCyi280004.fits,Y,,dframes 25.0 12, TCS UTC at start (17h:31m:58.0s)               
NCyi280005.fits,Y,,dframes 25.0 12, TCS UTC at start (17h:37m:25.0s)               
NCyi280006.fits,Y,,dframes 25.0 12, TCS UTC at start (17h:42m:53.0s)               
NCyi280007.fits,Y,,dframes 50.0 12, TCS UTC at start (17h:48m:21.0s)               
NCyi280008.fits,Y,,dframes 50.0 12, TCS UTC at start ( 17h:59m:5.0s)               
NCyi280009.fits,Y,,dframes 50.0 12, TCS UTC at start ( 18h:9m:49.0s)               
NCyi280010.fits,Y,,dframes 50.0 12, TCS UTC at start (18h:20m:33.0s)               
NCyi280104.fits,H,,frames 25.0 10, TCS UTC at start (19h:56m:32.0s)               
NCyi280105.fits,H,HAQ1527+0250 A1,frames 25.0 10, TCS UTC at start (  20h:1m:1.0s)               
NCyi280106.fits,H,HAQ1527+0250 B1,frames 25.0 10, TCS UTC at start ( 20h:5m:30.0s)               
NCyi280107.fits,H,HAQ1527+0250 B2,frames 25.0 10, TCS UTC at start ( 20h:9m:59.0s)               
NCyi280108.fits,H,HAQ1527+0250 A2,frames 25.0 10, TCS UTC at start (20h:14m:30.0s)               
NCyi280109.fits,H,HAQ1527+0250 A1,frames 25.0 10, TCS UTC at start (20h:18m:59.0s)               
NCyi280110.fits,H,HAQ1527+0250 B1,frames 25.0 10, TCS UTC at start (20h:23m:29.0s)               
NCyi280111.fits,H,HAQ1527+0250 B2,frames 25.0 10, TCS UTC at start (20h:27m:58.0s)               
NCyi280112.fits,H,HAQ1527+0250 A2,frames 25.0 10, TCS UTC at start (20h:32m:28.0s)               
NCyi280113.fits,H,slit image,expose 3.0, TCS UTC at start ( 20h:38m:9.0s)               
NCyi280114.fits,H,acquisition,expose 1.2, TCS UTC at start ( 20h:39m:0.0s)               
NCyi280115.fits,H,acquisition,expose 1.2, TCS UTC at start (20h:39m:38.0s)               
NCyi280116.fits,H,128slit+target,expose 1.2, TCS UTC at start (20h:40m:19.0s)               
NCyi280117.fits,H,HIP75230,frames 4.0 3, TCS UTC at start ( 20h:41m:6.0s)               
NCyi280118.fits,H,HIP75230 A1,frames 4.0 3, TCS UTC at start (20h:41m:31.0s)               
NCyi280119.fits,H,HIP75230 B1,frames 4.0 3, TCS UTC at start ( 20h:42m:3.0s)               
NCyi280120.fits,H,HIP75230 B2,frames 4.0 3, TCS UTC at start (20h:42m:25.0s)               
NCyi280121.fits,H,HIP75230 A2,frames 4.0 3, TCS UTC at start (20h:42m:57.0s)               
NCyi280122.fits,H,Argon,expose 2.0, TCS UTC at start (20h:44m:22.0s)               
NCyi280123.fits,H,Xenon,expose 10.0, TCS UTC at start (20h:44m:45.0s)               
NCyi280124.fits,H,Halogen 1,expose 7.0, TCS UTC at start (20h:45m:17.0s)               
NCyi280125.fits,H,Halogen 2,expose 7.0, TCS UTC at start (20h:45m:34.0s)               
NCyi280126.fits,H,Halogen 3,expose 7.0, TCS UTC at start (20h:45m:52.0s)               
NCyi280127.fits,H,slit image,expose 5.0, TCS UTC at start (20h:48m:33.0s)               
NCyi280128.fits,H,acquisition,expose 5.0, TCS UTC at start (20h:49m:18.0s)               
NCyi280129.fits,H,acquisition,expose 5.0, TCS UTC at start ( 20h:50m:2.0s)               
NCyi280130.fits,H,128slit+target,expose 5.0, TCS UTC at start (20h:50m:48.0s)               
NCyi280131.fits,H,SP2209+178,frames 5.0 6, TCS UTC at start (20h:51m:46.0s)               
NCyi280132.fits,H,SP2209+178 A1,frames 5.0 6, TCS UTC at start (20h:52m:27.0s)               
NCyi280133.fits,H,SP2209+178 B1,frames 5.0 6, TCS UTC at start (20h:53m:16.0s)               
NCyi280134.fits,H,SP2209+178 B2,frames 5.0 6, TCS UTC at start (20h:53m:57.0s)               
NCyi280135.fits,H,SP2209+178 A2,frames 5.0 6, TCS UTC at start (20h:54m:47.0s)               
NCyi280136.fits,K,SP2209+178,frames 5.0 12, TCS UTC at start (20h:56m:14.0s)               
NCyi280137.fits,K,SP2209+178 A1,frames 5.0 12, TCS UTC at start (20h:57m:27.0s)               
NCyi280138.fits,K,SP2209+178 B1,frames 5.0 12, TCS UTC at start (20h:58m:48.0s)               
NCyi280139.fits,K,SP2209+178 B2,frames 5.0 12, TCS UTC at start (  21h:0m:0.0s)               
NCyi280140.fits,K,SP2209+178 A2,frames 5.0 12, TCS UTC at start ( 21h:1m:22.0s)               
NCyi280141.fits,J,SP2209+178,frames 4.0 12, TCS UTC at start (  21h:3m:1.0s)               
NCyi280142.fits,J,SP2209+178 A1,frames 4.0 12, TCS UTC at start (  21h:4m:5.0s)               
NCyi280143.fits,J,SP2209+178 B1,frames 4.0 12, TCS UTC at start ( 21h:5m:18.0s)               
NCyi280144.fits,J,SP2209+178 B2,frames 4.0 12, TCS UTC at start ( 21h:6m:23.0s)               
NCyi280145.fits,J,SP2209+178 A2,frames 4.0 12, TCS UTC at start ( 21h:7m:36.0s)               
NCyi280146.fits,Y,SP2209+178,frames 4.0 12, TCS UTC at start ( 21h:8m:56.0s)               
NCyi280147.fits,Y,SP2209+178 A1,frames 4.0 12, TCS UTC at start ( 21h:10m:1.0s)               
NCyi280148.fits,Y,SP2209+178 B1,frames 4.0 12, TCS UTC at start (21h:11m:18.0s)               
NCyi280149.fits,Y,SP2209+178 B2,frames 4.0 12, TCS UTC at start (21h:12m:22.0s)               
NCyi280150.fits,Y,SP2209+178 A2,frames 4.0 12, TCS UTC at start (21h:13m:35.0s)               
NCyi280151.fits,H,SP2209+178,frames 5.0 6, TCS UTC at start ( 21h:15m:8.0s)               
NCyi280152.fits,H,SP2209+178 A1,frames 5.0 6, TCS UTC at start (21h:15m:49.0s)               
