Name,Filter,Object,ExposureMode,UT
NCyg030397.fits,Ks,stand1 B1,frames 3.6 1, TCS UTC at start ( 2h:46m:21.0s)               
NCyg030398.fits,Ks,stand1 B2,frames 3.6 1, TCS UTC at start ( 2h:46m:37.0s)               
NCyg030399.fits,Ks,stand1 A1,frames 3.6 1, TCS UTC at start ( 2h:47m:23.0s)               
NCyg030400.fits,Ks,dark after clean3,dark 0.0, TCS UTC at start (  2h:48m:2.0s)               
NCyg030401.fits,Ks,stand1 A1,frames 3.6 1, TCS UTC at start ( 2h:48m:17.0s)               
NCyg030402.fits,Ks,stand1 B1,frames 3.6 1, TCS UTC at start ( 2h:48m:41.0s)               
NCyg030403.fits,Ks,stand1 B2,frames 3.6 1, TCS UTC at start ( 2h:48m:56.0s)               
NCyg030404.fits,Ks,stand1 A2,frames 3.6 1, TCS UTC at start ( 2h:49m:21.0s)               
NCyg030405.fits,Ks,Argon,expose 10.0, TCS UTC at start ( 2h:50m:38.0s)               
NCyg030406.fits,Ks,Xenon,expose 20.0, TCS UTC at start ( 2h:51m:11.0s)               
NCyg030407.fits,Ks,Halogen 1,expose 7.0, TCS UTC at start ( 2h:51m:51.0s)               
NCyg030408.fits,Ks,Halogen 2,expose 7.0, TCS UTC at start ( 2h:52m:10.0s)               
NCyg030409.fits,Ks,Halogen 3,expose 7.0, TCS UTC at start ( 2h:52m:27.0s)               
NCyg030410.fits,Ks,slit image,expose 10.0, TCS UTC at start ( 2h:54m:49.0s)               
NCyg030411.fits,Ks,acquisition,expose 10.0, TCS UTC at start ( 2h:55m:49.0s)               
NCyg030412.fits,Ks,acquisition,expose 10.0, TCS UTC at start ( 2h:56m:22.0s)               
NCyg030413.fits,Ks,acquisition,expose 10.0, TCS UTC at start ( 2h:57m:10.0s)               
NCyg030414.fits,Ks,128slit+target,expose 10.0, TCS UTC at start (  2h:58m:4.0s)               
NCyg030415.fits,Ks,V404CYG A1,frames 60.0 10, TCS UTC at start ( 2h:59m:13.0s)               
NCyg030416.fits,Ks,V404CYG B1,frames 60.0 10, TCS UTC at start (  3h:9m:55.0s)               
NCyg030417.fits,Ks,V404CYG A1,frames 15.0 10, TCS UTC at start ( 3h:20m:38.0s)               
NCyg030418.fits,Ks,V404CYG B1,frames 15.0 10, TCS UTC at start ( 3h:23m:32.0s)               
NCyg030419.fits,Ks,V404CYG B2,frames 15.0 10, TCS UTC at start ( 3h:26m:18.0s)               
NCyg030420.fits,Ks,V404CYG A2,frames 15.0 10, TCS UTC at start ( 3h:29m:11.0s)               
NCyg030421.fits,H,,expose 1.0, TCS UTC at start ( 3h:32m:31.0s)               
NCyg030422.fits,H,slit image,expose 10.0, TCS UTC at start ( 3h:33m:52.0s)               
NCyg030423.fits,H,acquisition,expose 10.0, TCS UTC at start ( 3h:34m:55.0s)               
NCyg030424.fits,H,acquisition,expose 10.0, TCS UTC at start (  3h:36m:4.0s)               
NCyg030425.fits,H,128slit+target,expose 10.0, TCS UTC at start (  3h:37m:0.0s)               
NCyg030426.fits,H,V404CYG_H A1,frames 15.0 10, TCS UTC at start ( 3h:37m:56.0s)               
NCyg030427.fits,H,V404CYG_H B1,frames 15.0 10, TCS UTC at start ( 3h:40m:50.0s)               
NCyg030428.fits,H,V404CYG_H B2,frames 15.0 10, TCS UTC at start ( 3h:43m:35.0s)               
NCyg030429.fits,H,V404CYG_H A2,frames 15.0 10, TCS UTC at start ( 3h:46m:27.0s)               
NCyg030430.fits,J,V404CYG_J A1,frames 15.0 10, TCS UTC at start ( 3h:49m:51.0s)               
NCyg030431.fits,J,V404CYG_J B1,frames 15.0 10, TCS UTC at start ( 3h:52m:45.0s)               
