Name,Filter,Object,ExposureMode,UT,Grism
NCrg160601.fits,H,Dark exp-20,mdark 20.0 5   1/5, TCS UTC at start ( 7h:14m:43.0s)               ,
NCrg160602.fits,H,Dark exp-20,mdark 20.0 5   2/5, TCS UTC at start ( 7h:15m:16.0s)               ,
NCrg160603.fits,H,Dark exp-20,mdark 20.0 5   3/5, TCS UTC at start ( 7h:15m:48.0s)               ,
NCrg160604.fits,H,Dark exp-20,mdark 20.0 5   4/5, TCS UTC at start ( 7h:16m:22.0s)               ,
NCrg160605.fits,H,Dark exp-20,mdark 20.0 5   5/5, TCS UTC at start ( 7h:16m:53.0s)               ,
NCrg160606.fits,H,Dark exp-20,mdark 20.0 5, TCS UTC at start ( 7h:17m:24.0s)               ,
NCrg160607.fits,H,Dark exp-350,mdark 350.0 5   1/5, TCS UTC at start ( 7h:17m:35.0s)               ,
NCrk110062.fits,J,lin 0.5s,mexp 0.5 5   1/5, TCS UTC at start (16h:23m:27.0s)               ,
NCrk110063.fits,J,lin 0.5s,mexp 0.5 5   2/5, TCS UTC at start (16h:23m:42.0s)               ,
NCrk110064.fits,J,lin 0.5s,mexp 0.5 5   3/5, TCS UTC at start (16h:23m:59.0s)               ,
NCrk110065.fits,J,lin 0.5s,mexp 0.5 5   4/5, TCS UTC at start (16h:24m:18.0s)               ,
NCrk110066.fits,J,lin 0.5s,mexp 0.5 5   5/5, TCS UTC at start (16h:24m:33.0s)               ,
NCrk110067.fits,J,lin 0.5s,mexp 0.5 5, TCS UTC at start (16h:24m:49.0s)               ,
NCrk110068.fits,J,drk 0.5s,mdark 0.5 5   1/5, TCS UTC at start ( 16h:25m:0.0s)               ,
NCrk110069.fits,J,drk 0.5s,mdark 0.5 5   2/5, TCS UTC at start (16h:25m:16.0s)               ,
NCrk110070.fits,J,drk 0.5s,mdark 0.5 5   3/5, TCS UTC at start (16h:25m:32.0s)               ,
NCrk110071.fits,J,drk 0.5s,mdark 0.5 5   4/5, TCS UTC at start (16h:25m:48.0s)               ,
NCrk110072.fits,J,drk 0.5s,mdark 0.5 5   5/5, TCS UTC at start ( 16h:26m:4.0s)               ,
NCrk110073.fits,J,drk 0.5s,mdark 0.5 5, TCS UTC at start (16h:26m:20.0s)               ,
NCrk110074.fits,J,lin 42s,mexp 42.0 5   1/5, TCS UTC at start (16h:26m:32.0s)               ,
NCrk110075.fits,J,lin 42s,mexp 42.0 5   2/5, TCS UTC at start (16h:27m:29.0s)               ,
NCrk110076.fits,J,lin 42s,mexp 42.0 5   3/5, TCS UTC at start (16h:28m:27.0s)               ,
NCrk110077.fits,J,lin 42s,mexp 42.0 5   4/5, TCS UTC at start (16h:29m:25.0s)               ,
NCrk110078.fits,J,lin 42s,mexp 42.0 5   5/5, TCS UTC at start (16h:30m:23.0s)               ,
NCrk110079.fits,J,lin 42s,mexp 42.0 5, TCS UTC at start (16h:31m:20.0s)               ,
NCrk110080.fits,J,Lintest drk 0s,mdark 0.0 5   1/5, TCS UTC at start (16h:32m:51.0s)               ,
NCrk110081.fits,J,Lintest drk 0s,mdark 0.0 5   2/5, TCS UTC at start ( 16h:33m:8.0s)               ,
NCrk110082.fits,J,Lintest drk 0s,mdark 0.0 5   3/5, TCS UTC at start (16h:33m:24.0s)               ,
NCrk110083.fits,J,Lintest drk 0s,mdark 0.0 5   4/5, TCS UTC at start (16h:33m:40.0s)               ,
NCrk110084.fits,J,Lintest drk 0s,mdark 0.0 5   5/5, TCS UTC at start (16h:33m:56.0s)               ,
NCrk110085.fits,J,Lintest drk 0s,mdark 0.0 5, TCS UTC at start (16h:34m:12.0s)               ,
NCrk110086.fits,J,lin 0.5s,mexp 0.5 5   1/5, TCS UTC at start (16h:34m:17.0s)               ,
NCrk110087.fits,J,lin 0.5s,mexp 0.5 5   2/5, TCS UTC at start (16h:34m:33.0s)               ,
NCrk110088.fits,J,lin 0.5s,mexp 0.5 5   3/5, TCS UTC at start (16h:34m:47.0s)               ,
NCrk110089.fits,J,lin 0.5s,mexp 0.5 5   4/5, TCS UTC at start ( 16h:35m:4.0s)               ,
NCrk110090.fits,J,lin 0.5s,mexp 0.5 5   5/5, TCS UTC at start (16h:35m:19.0s)               ,
NCrk110091.fits,J,lin 0.5s,mexp 0.5 5, TCS UTC at start (16h:35m:36.0s)               ,
NCrk110092.fits,J,drk 0.5s,mdark 0.5 5   1/5, TCS UTC at start (16h:35m:47.0s)               ,
NCrk110093.fits,J,drk 0.5s,mdark 0.5 5   2/5, TCS UTC at start ( 16h:36m:2.0s)               ,
NCrk110094.fits,J,drk 0.5s,mdark 0.5 5   3/5, TCS UTC at start (16h:36m:19.0s)               ,
NCrk110095.fits,J,drk 0.5s,mdark 0.5 5   4/5, TCS UTC at start (16h:36m:35.0s)               ,
NCrk110096.fits,J,drk 0.5s,mdark 0.5 5   5/5, TCS UTC at start (16h:36m:50.0s)               ,
NCrk110097.fits,J,drk 0.5s,mdark 0.5 5, TCS UTC at start ( 16h:37m:6.0s)               ,
NCrk110098.fits,J,lin 42s,mexp 42.0 5   1/5, TCS UTC at start (16h:37m:19.0s)               ,
NCrk110099.fits,J,lin 42s,mexp 42.0 5   2/5, TCS UTC at start (16h:38m:15.0s)               ,
NCrk110100.fits,J,lin 42s,mexp 42.0 5   3/5, TCS UTC at start (16h:39m:10.0s)               ,
NCrk110101.fits,J,lin 42s,mexp 42.0 5   4/5, TCS UTC at start ( 16h:40m:5.0s)               ,
NCrk110102.fits,J,lin 42s,mexp 42.0 5   5/5, TCS UTC at start ( 16h:41m:0.0s)               ,
NCrk110103.fits,J,lin 42s,mexp 42.0 5, TCS UTC at start (16h:41m:54.0s)               ,
NCrk110104.fits,J,drk 42s,mdark 42.0 5   1/5, TCS UTC at start ( 16h:42m:6.0s)               ,
NCrk110105.fits,J,drk 42s,mdark 42.0 5   2/5, TCS UTC at start ( 16h:43m:0.0s)               ,
