0.179680;7.786e-60;1.060e-10;16573.6481;16;16;5;5;;
0.181500;1.056e-79;5.482e-10;26321.2353;16;16;9;9;;
0.181580;1.054e-76;2.302e-14;23234.5633;116;120;3;3;;
0.181774;1.673e-27;4.374e-12;429.2806;7;9;0;0;3.0;4.0
0.182561;4.556e-26;1.196e-10;429.2798;7;7;0;0;3.0;3.0
0.183730;1.153e-53;1.195e-10;13670.7438;16;16;4;4;;
0.183803;5.266e-35;4.488e-12;3986.0875;7;9;1;1;3.0;4.0
0.184242;6.016e-26;1.240e-10;429.2806;9;9;0;0;4.0;4.0
0.184611;1.434e-33;1.227e-10;3986.0867;7;7;1;1;3.0;3.0
0.184741;3.635e-42;4.492e-12;7377.4974;7;9;2;2;3.0;4.0
0.185029;1.733e-27;3.587e-12;429.2798;9;7;0;0;4.0;3.0
0.185579;9.906e-41;1.230e-10;7377.4965;7;7;2;2;3.0;3.0
0.186000;3.573e-47;1.267e-10;10605.3649;16;16;3;3;;
0.186217;1.892e-33;1.271e-10;3986.0875;9;9;1;1;4.0;4.0
0.186245;3.714e-33;8.732e-11;3649.2058;5;7;1;1;2.0;3.0
0.186604;5.220e-32;1.230e-09;3649.2054;5;5;1;1;2.0;2.0
0.186735;7.467e-32;1.257e-09;3649.2058;7;7;1;1;3.0;3.0
0.187024;5.452e-35;3.677e-12;3986.0867;9;7;1;1;4.0;3.0
0.187094;3.748e-33;6.323e-11;3649.2054;7;5;1;1;3.0;2.0
0.187108;1.305e-40;1.270e-10;7377.4974;9;9;2;2;4.0;4.0
0.187946;3.763e-42;3.680e-12;7377.4965;9;7;2;2;4.0;3.0
0.190150;5.881e-65;4.183e-10;19128.1478;8;8;6;6;;
0.192870;5.806e-48;7.766e-11;10954.3805;24;24;3;3;;
0.196920;1.079e-70;2.138e-10;21783.7248;12;12;7;7;;
0.200697;1.430e-25;1.077e-10;83.7247;5;7;0;0;2.0;3.0
0.201164;2.012e-24;1.519e-09;83.7242;5;5;0;0;2.0;2.0
0.201309;2.878e-24;1.554e-09;83.7247;7;7;0;0;3.0;3.0
0.201776;1.446e-25;7.824e-11;83.7242;7;5;0;0;3.0;2.0
0.204680;4.346e-59;5.244e-10;16379.4865;8;8;5;5;;
0.212410;7.908e-75;9.520e-10;24093.3522;16;16;8;8;;
0.214390;3.684e-65;2.867e-10;19205.3948;12;12;6;6;;
0.217360;7.118e-53;6.490e-10;13467.1864;8;8;4;4;;
0.220439;3.236e-43;1.784e-12;7741.7532;11;13;2;2;5.0;6.0
0.221560;2.517e-41;1.180e-10;7741.7532;13;13;2;2;6.0;6.0
0.222936;2.152e-41;1.200e-10;7741.7507;11;11;2;2;5.0;5.0
0.224056;3.343e-43;1.585e-12;7741.7507;13;11;2;2;6.0;5.0
0.228500;2.626e-59;3.500e-10;16460.7034;12;12;5;5;;
0.229020;2.475e-46;7.679e-10;10392.3967;8;8;3;3;;
0.238372;1.146e-40;1.446e-10;7155.0481;3;5;2;2;1.0;2.0
0.238833;5.757e-40;7.280e-10;7155.0476;3;3;2;2;1.0;1.0
0.239880;4.159e-53;4.221e-10;13552.3551;12;12;4;4;;
0.240593;1.051e-39;8.033e-10;7155.0481;5;5;2;2;2.0;2.0
0.241054;1.173e-40;8.983e-11;7155.0476;5;3;2;2;2.0;1.0
0.242120;1.284e-69;1.469e-09;21687.4236;16;16;7;7;;
0.248658;1.893e-33;1.649e-10;3754.0433;3;5;1;1;1.0;2.0
0.249083;9.501e-33;8.289e-10;3754.0429;3;3;1;1;1.0;1.0
0.249780;1.393e-46;4.847e-10;10481.5267;12;12;3;3;;
0.250935;1.735e-32;9.150e-10;3754.0433;5;5;1;1;2.0;2.0
0.251359;1.935e-33;1.022e-10;3754.0429;5;3;1;1;2.0;1.0
0.251398;5.728e-36;2.690e-12;4365.7373;11;13;1;1;5.0;6.0
0.252481;4.448e-34;1.775e-10;4365.7373;13;13;1;1;6.0;6.0
0.253926;3.798e-34;1.802e-10;4365.7347;11;11;1;1;5.0;5.0
0.255010;5.892e-36;2.375e-12;4365.7347;13;11;1;1;6.0;5.0
0.256648;2.760e-41;3.539e-11;7248.1722;5;7;2;2;2.0;3.0
0.257295;3.885e-40;4.994e-10;7248.1716;5;5;2;2;2.0;2.0
0.258509;6.902e-26;1.849e-10;187.4941;3;5;0;0;1.0;2.0
0.258904;3.462e-25;9.288e-10;187.4937;3;3;0;0;1.0;1.0
0.258919;5.619e-40;5.192e-10;7248.1722;7;7;2;2;3.0;3.0
0.259566;2.823e-41;2.615e-11;7248.1716;7;5;2;2;3.0;2.0
0.260851;6.325e-25;1.026e-09;187.4941;5;5;0;0;2.0;2.0
0.261246;7.048e-26;1.145e-10;187.4937;5;3;0;0;2.0;1.0
0.264117;4.377e-34;3.896e-11;3851.2125;5;7;1;1;2.0;3.0
0.264734;6.157e-33;5.494e-10;3851.2118;5;5;1;1;2.0;2.0
0.266441;8.910e-33;5.715e-10;3851.2125;7;7;1;1;3.0;3.0
0.267058;4.475e-34;2.877e-11;3851.2118;7;5;1;1;3.0;2.0
0.270789;1.530e-26;4.214e-11;288.7734;5;7;0;0;2.0;3.0
0.271383;2.152e-25;5.941e-10;288.7728;5;5;0;0;2.0;2.0
0.271570;4.573e-64;2.132e-09;19110.5123;16;16;6;6;;
0.273175;3.115e-25;6.183e-10;288.7734;7;7;0;0;3.0;3.0
0.273769;1.564e-26;3.111e-11;288.7728;7;5;0;0;3.0;2.0
0.283635;2.199e-28;3.899e-12;824.5333;11;13;0;0;5.0;6.0
0.284692;1.706e-26;2.569e-10;824.5333;13;13;0;0;6.0;6.0
0.286204;1.455e-26;2.603e-10;824.5308;11;11;0;0;5.0;5.0
0.287259;2.255e-28;3.427e-12;824.5308;13;11;0;0;6.0;5.0
0.292990;7.857e-77;1.675e-10;24733.5927;28;28;8;8;;
0.300450;3.510e-58;2.930e-09;16367.2301;16;16;5;5;;
0.323820;1.064e-71;2.427e-10;22358.2830;28;28;7;7;;
0.329470;5.833e-52;3.899e-09;13460.2696;16;16;4;4;;
0.334830;1.669e-79;2.099e-09;26423.1499;20;20;9;9;;
0.358520;2.078e-45;5.009e-09;10390.8011;16;16;3;3;;
0.361430;3.411e-66;3.643e-10;19811.0379;28;28;6;6;;
